question_idx,latency_s,cluster_cpu_percent_top,cluster_mem_bytes,cluster_rx_bytes_per_s,cluster_tx_bytes_per_s,request_bytes,response_bytes
1,222.96810221672058,3127.7343847244692,3869586171.661017,144355899.74979967,144419532.25982663,229078,890
2,150.32823181152344,3097.788049445459,3876921028.9230766,158431979.29621574,158500030.71860474,229074,833
3,158.54198217391968,3106.0668805048276,3883198369.476923,155273385.39892167,155338996.61342376,229061,823
4,157.9747760295868,3094.633284420292,3891647511.8139534,155323959.5883615,155394979.64157492,229080,878
5,204.55553030967712,3116.4398197150185,3888547755.1715975,147318107.52502733,147384394.07313225,229077,915
6,152.47060418128967,3099.069506133597,3887431876.608,158244596.12104565,158314857.96632084,229071,853
7,145.6708528995514,3100.016173526417,3891955593.5206614,158472575.57363483,158541780.55046675,229063,1210
8,196.07081842422485,3108.004571498791,3893397632.0,148777094.9570122,148848329.01984853,229068,1231
9,153.26746678352356,3090.0947861879513,3888482353.152,157526584.2561409,157599453.29504642,229075,866
10,147.4513063430786,3086.734266978985,3888725805.948718,158451900.43036,158522717.38179278,229097,911
11,157.5184886455536,3090.2404167635627,3889498274.539683,156786816.89596784,156857797.63033205,229077,919
12,152.24183917045593,3103.358462919077,3893897447.2258067,157578166.49298272,157647653.67901278,229055,867
13,170.63426637649536,2689.0964502262786,3892725835.851852,138358178.2448596,138421550.7211484,229051,839
14,167.5783622264862,3101.5579403833885,3888979057.7777777,153491289.13932422,153563345.98986006,229049,841
15,180.4939410686493,2687.829835880663,3889084216.888889,136290416.3893444,136354632.6058632,229083,820
16,168.6269929409027,3101.496331511338,3893634686.1449275,153617315.93635407,153689528.21261916,229063,855
17,126.36014437675476,3079.5707136876877,3894667059.2,164890878.2177122,164962321.27473408,229070,888
18,147.42812728881836,3092.3339282936013,3890579369.9495797,158500671.28114635,158570473.76856342,229074,868
19,144.6666557788849,3089.205301621607,3889856583.8596487,160510378.2000136,160580564.2490747,229066,858
20,183.32860660552979,3111.10748377223,3890619164.444444,152692406.0096775,152760499.534366,229094,836
21,183.2746298313141,2710.675233431127,3909929605.260274,135978671.9576937,136042545.4354946,229036,754
22,152.086510181427,3089.7612118223406,3918382139.2396693,156711925.80833256,156781667.56904063,229047,859
23,155.14202904701233,3109.537776212862,3919601899.0163937,158026536.9261788,158089609.76375937,229053,807
24,139.03001618385315,3097.3167652555417,3914749257.142857,160485565.90466207,160559004.29070455,229045,860
25,180.3680157661438,2644.232670488372,3909440995.555556,133696996.80716048,133760981.48842993,229074,790
26,171.49800562858582,3101.9194541078245,3911616000.0,153554513.40368542,153620588.81347498,229076,837
27,164.7300329208374,2657.2628696696556,3914668940.511278,138228825.03121063,138293507.92971477,229059,803
28,221.5855836868286,3119.918672042613,3915093697.422222,145913247.53642753,145981635.0088789,229053,845
29,206.97597002983093,3115.955924289432,3906778559.6167665,147376779.24931872,147441642.88541165,229055,847
30,172.4835033416748,3108.007372380829,3906991338.0571427,154298062.8894129,154366953.3036832,229082,864
31,174.795907497406,3102.263707221212,3907025832.2285714,153489172.52194905,153559599.6342096,229099,911
32,152.24535131454468,3091.470418874028,3907091640.6557374,157093667.77700177,157164542.20375326,229061,934
33,174.43170309066772,3099.6945533401927,3907206204.2352943,152770456.8598327,152840304.5640294,229079,1226
34,153.13479828834534,3112.1796308022776,3907235184.64,158114921.07370853,158182974.11009532,228976,473
35,152.05868363380432,3094.8117447426057,3907028805.818182,157500016.39285412,157570697.86097655,229079,869
36,141.22831106185913,3099.1661424619706,3907383580.939131,160995093.58319086,161060189.29191157,229075,887
37,181.1974322795868,3111.892883393368,3907474325.0149255,152939415.28509167,152999049.28135782,229078,961
38,211.84570169448853,2759.4423456513655,3907772209.726619,134694673.28702646,134749000.44546273,229087,825
39,186.34175395965576,3097.7490966677105,3907593150.6382976,150335359.02031472,150403082.60202324,229075,916
40,185.15102291107178,3102.613158534407,3911860390.0540543,150327853.95070913,150396235.9169599,229060,870
41,185.02217173576355,2699.357570579527,3912209493.3333335,135233159.1304286,135295584.25976118,229088,1180
42,168.85485816001892,3100.562256277258,3907961879.8139534,154600839.12575936,154668589.41215715,229069,858
43,354.108864068985,2921.9178195958148,3910096578.7042255,127082108.90827416,127146693.28986011,229057,793
44,159.3569004535675,3112.4852365242923,3915892139.338583,155967479.09414792,156031273.50136256,229084,924
45,256.9458062648773,3122.354910797645,3912350531.1067963,142275571.97144687,142340152.70635444,229104,860
46,182.0425362586975,2685.6635270408733,3908371826.382979,135790117.3595573,135852249.95357877,229056,821
47,191.76821398735046,2324.9734183236837,3908609835.2207794,121010619.93272111,121074963.75041352,229088,783
48,178.36917734146118,3105.2394155503735,3908816638.20979,150405856.33044794,150475245.47707334,229081,841
49,228.43462324142456,2789.603392680645,3908930934.907104,131838854.5862895,131903252.60875763,229069,807
50,172.345942735672,3108.184570504089,3909017924.143885,152787786.97091866,152854779.96661517,229057,849
51,197.62071990966797,2719.821080733263,3909158255.5897436,133503228.36623415,133566712.62540361,229060,802
52,170.62377333641052,3105.311702111637,3910420418.8656716,153511876.2750428,153578975.81091714,229055,911
53,151.44134163856506,3093.0259527013995,3914394182.764228,158557286.18878815,158627513.0494652,229085,896
54,166.00504732131958,3098.225073870667,3912394243.849624,155340578.71195945,155410616.69084993,229079,938
55,160.45886969566345,3105.2942161754972,3909106866.7936506,157720271.7244615,157786336.3117299,229059,851
56,169.8071846961975,2693.8436133806395,3909150108.656717,136949071.43420032,137012434.17717993,229076,814
57,242.22667336463928,3112.5308766679514,3913541461.3333335,142294754.8229494,142362829.33667228,229089,460
58,201.15058851242065,2741.4088324476825,3914523088.2133336,133760510.69489467,133820554.96863665,229037,777
59,188.1042675971985,3107.834859184808,3914751571.660131,149810597.590183,149880813.07316333,229077,888
60,290.88206934928894,3123.4788793701973,3915335179.377778,138251557.7531534,138317318.45831752,229074,844
